Model,Test RMSE,Test R2,Train RMSE,Overfit Gap (Test-Train RMSE)
Linear Regression,70060.52184473518,0.6254240620553606,68433.93736666226,1626.584478072924
Ridge Regression,70057.41908537372,0.6254572388925272,68433.94473747021,1623.4743479035096
Decision Tree (untuned),69790.18312903232,0.6283091964371093,0.0,69790.18312903232
Decision Tree (tuned),60996.59083705024,0.7160745877415269,49497.76900675488,11498.821830295354
